Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	Stopped	EOF	
2022-06-03 14:28:25	72.23	 	 	 	 	 	
2022-06-03 14:28:26	72.23	 	 	 	 	 	
2022-06-03 14:28:27	72.23	 	 	 	 	 	
2022-06-03 14:28:28	72.23	 	 	 	 	 	
2022-06-03 14:28:29	72.23	 	 	 	 	 	
2022-06-03 14:28:30	72.23	 	 	 	 	 	
2022-06-03 14:28:31	72.23	 	 	 	 	 	
2022-06-03 14:28:32	72.23	 	 	 	 	 	
2022-06-03 14:28:33	72.23	 	 	 	 	 	
2022-06-03 14:28:34	72.30	 	 	 	 	 	
2022-06-03 14:28:35	72.23	 	 	 	 	 	
2022-06-03 14:28:36	72.23	 	 	 	 	 	
2022-06-03 14:28:37	72.23	 	 	 	 	 	
2022-06-03 14:28:38	72.15	 	 	 	 	 	
2022-06-03 14:28:39	72.15	 	 	 	 	 	
2022-06-03 14:28:40	72.23	 	 	 	 	 	
2022-06-03 14:28:41	72.23	 	 	 	 	 	
2022-06-03 14:28:42	72.30	 	 	 	 	 	
2022-06-03 14:28:43	72.23	 	 	 	 	 	
2022-06-03 14:28:44	72.23	 	 	 	 	 	
2022-06-03 14:28:45	72.23	 	 	 	 	 	
2022-06-03 14:28:46	72.15	 	 	 	 	 	
2022-06-03 14:28:47	72.23	 	 	 	 	 	
2022-06-03 14:28:48	72.23	 	 	 	 	 	
2022-06-03 14:28:49	72.23	 	 	 	 	 	
2022-06-03 14:28:50	72.23	 	 	 	 	 	
2022-06-03 14:28:51	72.23	 	 	 	 	 	
2022-06-03 14:28:52	72.23	 	 	 	 	 	
2022-06-03 14:28:53	72.23	 	 	 	 	 	
